season,round,race_name,race_date,race_time,circuit_id,circuit_name,circuit_url,locality,country,lat,long
2012,15,Japanese Grand Prix,2012-10-07,06:00:00Z,suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka,Japan,34.8431,136.541
2012,16,Korean Grand Prix,2012-10-14,06:00:00Z,yeongam,Korean International Circuit,https://en.wikipedia.org/wiki/Korea_International_Circuit,Yeongam County,Korea,34.7333,126.417
2012,17,Indian Grand Prix,2012-10-28,09:30:00Z,buddh,Buddh International Circuit,https://en.wikipedia.org/wiki/Buddh_International_Circuit,Uttar Pradesh,India,28.3487,77.5331
2012,18,Abu Dhabi Grand Prix,2012-11-04,13:00:00Z,yas_marina,Yas Marina Circuit,https://en.wikipedia.org/wiki/Yas_Marina_Circuit,Abu Dhabi,UAE,24.4672,54.6031
2012,19,United States Grand Prix,2012-11-18,19:00:00Z,americas,Circuit of the Americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Austin,USA,30.1328,-97.6411
2012,20,Brazilian Grand Prix,2012-11-25,16:00:00Z,interlagos,Autódromo José Carlos Pace,https://en.wikipedia.org/wiki/Interlagos_Circuit,São Paulo,Brazil,-23.7036,-46.6997
2013,1,Australian Grand Prix,2013-03-17,06:00:00Z,albert_park,Albert Park Grand Prix Circuit,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Melbourne,Australia,-37.8497,144.968
2013,2,Malaysian Grand Prix,2013-03-24,08:00:00Z,sepang,Sepang International Circuit,https://en.wikipedia.org/wiki/Sepang_International_Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
2013,3,Chinese Grand Prix,2013-04-14,07:00:00Z,shanghai,Shanghai International Circuit,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai,China,31.3389,121.22
2013,4,Bahrain Grand Prix,2013-04-21,12:00:00Z,bahrain,Bahrain International Circuit,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,Sakhir,Bahrain,26.0325,50.5106
2013,5,Spanish Grand Prix,2013-05-12,12:00:00Z,catalunya,Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111
2013,6,Monaco Grand Prix,2013-05-26,12:00:00Z,monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monte Carlo,Monaco,43.7347,7.42056
2013,7,Canadian Grand Prix,2013-06-09,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Montreal,Canada,45.5,-73.5228
2013,8,British Grand Prix,2013-06-30,12:00:00Z,silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone,UK,52.0786,-1.01694
2013,9,German Grand Prix,2013-07-07,12:00:00Z,nurburgring,Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburg,Germany,50.3356,6.9475
2013,10,Hungarian Grand Prix,2013-07-28,12:00:00Z,hungaroring,Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Budapest,Hungary,47.5789,19.2486
2013,11,Belgian Grand Prix,2013-08-25,12:00:00Z,spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
2013,12,Italian Grand Prix,2013-09-08,12:00:00Z,monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Monza,Italy,45.6156,9.28111
2013,13,Singapore Grand Prix,2013-09-22,12:00:00Z,marina_bay,Marina Bay Street Circuit,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay,Singapore,1.2914,103.864
2013,14,Korean Grand Prix,2013-10-06,06:00:00Z,yeongam,Korean International Circuit,https://en.wikipedia.org/wiki/Korea_International_Circuit,Yeongam County,Korea,34.7333,126.417
2013,15,Japanese Grand Prix,2013-10-13,06:00:00Z,suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka,Japan,34.8431,136.541
2013,16,Indian Grand Prix,2013-10-27,09:30:00Z,buddh,Buddh International Circuit,https://en.wikipedia.org/wiki/Buddh_International_Circuit,Uttar Pradesh,India,28.3487,77.5331
2013,17,Abu Dhabi Grand Prix,2013-11-03,13:00:00Z,yas_marina,Yas Marina Circuit,https://en.wikipedia.org/wiki/Yas_Marina_Circuit,Abu Dhabi,UAE,24.4672,54.6031
2013,18,United States Grand Prix,2013-11-17,19:00:00Z,americas,Circuit of the Americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Austin,USA,30.1328,-97.6411
2013,19,Brazilian Grand Prix,2013-11-24,16:00:00Z,interlagos,Autódromo José Carlos Pace,https://en.wikipedia.org/wiki/Interlagos_Circuit,São Paulo,Brazil,-23.7036,-46.6997
2014,1,Australian Grand Prix,2014-03-16,06:00:00Z,albert_park,Albert Park Grand Prix Circuit,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Melbourne,Australia,-37.8497,144.968
2014,2,Malaysian Grand Prix,2014-03-30,08:00:00Z,sepang,Sepang International Circuit,https://en.wikipedia.org/wiki/Sepang_International_Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
2014,3,Bahrain Grand Prix,2014-04-06,15:00:00Z,bahrain,Bahrain International Circuit,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,Sakhir,Bahrain,26.0325,50.5106
2014,4,Chinese Grand Prix,2014-04-20,07:00:00Z,shanghai,Shanghai International Circuit,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai,China,31.3389,121.22
2014,5,Spanish Grand Prix,2014-05-11,12:00:00Z,catalunya,Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111
2014,6,Monaco Grand Prix,2014-05-25,12:00:00Z,monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monte Carlo,Monaco,43.7347,7.42056
2014,7,Canadian Grand Prix,2014-06-08,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Montreal,Canada,45.5,-73.5228
2014,8,Austrian Grand Prix,2014-06-22,12:00:00Z,red_bull_ring,Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Spielberg,Austria,47.2197,14.7647
2014,9,British Grand Prix,2014-07-06,12:00:00Z,silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone,UK,52.0786,-1.01694
2014,10,German Grand Prix,2014-07-20,12:00:00Z,hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Hockenheim,Germany,49.3278,8.56583
2014,11,Hungarian Grand Prix,2014-07-27,12:00:00Z,hungaroring,Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Budapest,Hungary,47.5789,19.2486
2014,12,Belgian Grand Prix,2014-08-24,12:00:00Z,spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
2014,13,Italian Grand Prix,2014-09-07,12:00:00Z,monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Monza,Italy,45.6156,9.28111
2014,14,Singapore Grand Prix,2014-09-21,12:00:00Z,marina_bay,Marina Bay Street Circuit,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay,Singapore,1.2914,103.864
2014,15,Japanese Grand Prix,2014-10-05,06:00:00Z,suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka,Japan,34.8431,136.541
2014,16,Russian Grand Prix,2014-10-12,11:00:00Z,sochi,Sochi Autodrom,https://en.wikipedia.org/wiki/Sochi_Autodrom,Sochi,Russia,43.4057,39.9578
2014,17,United States Grand Prix,2014-11-02,20:00:00Z,americas,Circuit of the Americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Austin,USA,30.1328,-97.6411
2014,18,Brazilian Grand Prix,2014-11-09,16:00:00Z,interlagos,Autódromo José Carlos Pace,https://en.wikipedia.org/wiki/Interlagos_Circuit,São Paulo,Brazil,-23.7036,-46.6997
2014,19,Abu Dhabi Grand Prix,2014-11-23,13:00:00Z,yas_marina,Yas Marina Circuit,https://en.wikipedia.org/wiki/Yas_Marina_Circuit,Abu Dhabi,UAE,24.4672,54.6031
2015,1,Australian Grand Prix,2015-03-15,05:00:00Z,albert_park,Albert Park Grand Prix Circuit,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Melbourne,Australia,-37.8497,144.968
2015,2,Malaysian Grand Prix,2015-03-29,07:00:00Z,sepang,Sepang International Circuit,https://en.wikipedia.org/wiki/Sepang_International_Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
2015,3,Chinese Grand Prix,2015-04-12,06:00:00Z,shanghai,Shanghai International Circuit,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai,China,31.3389,121.22
2015,4,Bahrain Grand Prix,2015-04-19,15:00:00Z,bahrain,Bahrain International Circuit,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,Sakhir,Bahrain,26.0325,50.5106
2015,5,Spanish Grand Prix,2015-05-10,12:00:00Z,catalunya,Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111
2015,6,Monaco Grand Prix,2015-05-24,12:00:00Z,monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monte Carlo,Monaco,43.7347,7.42056
2015,7,Canadian Grand Prix,2015-06-07,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Montreal,Canada,45.5,-73.5228
2015,8,Austrian Grand Prix,2015-06-21,12:00:00Z,red_bull_ring,Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Spielberg,Austria,47.2197,14.7647
2015,9,British Grand Prix,2015-07-05,12:00:00Z,silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone,UK,52.0786,-1.01694
2015,10,Hungarian Grand Prix,2015-07-26,12:00:00Z,hungaroring,Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Budapest,Hungary,47.5789,19.2486
2015,11,Belgian Grand Prix,2015-08-23,12:00:00Z,spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
2015,12,Italian Grand Prix,2015-09-06,12:00:00Z,monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Monza,Italy,45.6156,9.28111
2015,13,Singapore Grand Prix,2015-09-20,12:00:00Z,marina_bay,Marina Bay Street Circuit,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay,Singapore,1.2914,103.864
2015,14,Japanese Grand Prix,2015-09-27,05:00:00Z,suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka,Japan,34.8431,136.541
